SDRID,Definition,Data Restriction,DHSID,Alias
CHVACCCBAS,Percentage of children 12-23 months who had received all 8 basic vaccinations,,CH_VACC_C_BAS,Received all 8 basic vaccinations
CMECMRCCMR,"Probability of dying between the first birthday and the fifth birthday in the five or ten years preceding the survey), per 1,000 children surviving to their first birthday. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",,CM_ECMR_C_CMR,Child mortality rate
CMECMRCIMR,"Probability of dying before the first birthday in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",,CM_ECMR_C_IMR,Infant mortality rate
CMECMRCNNR,"Probability of dying in the first month of life in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",,CM_ECMR_C_NNR,Neonatal mortality rate
CMECMRCPNR,"Probability of dying after the first month of life and before the first birthday in the five or ten years preceding the survey, per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",,CM_ECMR_C_PNR,Postneonatal mortality rate
CMECMRCU5M,"Probability of dying before the fifth birthday in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex.",,CM_ECMR_C_U5M,Under-five mortality rate
CNNUTSCHA2,Percentage of children stunted (below -2 SD of height for age according to the WHO standard),,CN_NUTS_C_HA2,Children stunted
CNNUTSCWA2,Percentage of children underweight (below -2 SD of weight for age according to the WHO standard),,CN_NUTS_C_WA2,Children underweight
CNNUTSCWH2,Percentage of children wasted (below -2 SD of weight for height according to the WHO standard),,CN_NUTS_C_WH2,Children wasted
HACPHTMT1R,Percentage of men who received an HIV test in the 12 months preceding the interview and received the test results ,,HA_CPHT_M_T1R,Men receiving an HIV test and receiving test results in the last 12 months
HACPHTWT1R,Percentage of women who received an HIV test in the 12 months preceding the interview and received the test results ,,HA_CPHT_W_T1R,Women receiving an HIV test and receiving test results in the last 12 months
MLNETCCITN,Percentage of children under age five who slept under an insecticide treated net (ITN) the night before the survey,,ML_NETC_C_ITN,Children under 5 who slept under an insecticide-treated net (ITN)
